Plot BID,PWS TYPE,SEASON,FIELD,SET,ABSR,ABSC,Entry#,COMMENT,IsDeactivated,DeactivationReason,FieldDataSource,PlotNumber,CUSR,DISTANCE,HDIR,HDT,HID,HSIDE,HWT_lbs,Latitude,Longitude,MST,TWT
P00000000879556049943284,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,12,31,,F,,SCAN MASTER,,KSTRA9,21.51,D,7/17/2020 3:09:42 PM,US-BR-CO-R2-G-1798,1,5.049,42.145905,-102.927931,11.570,58.577
P00000000879556049943285,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,8,32,,F,,SCAN MASTER,,KSTRA9,20.06,U,7/17/2020 2:26:26 PM,US-BR-CO-R2-G-1798,2,4.266,42.145839,-102.927802,9.570,55.781
P00000000879556049943286,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,7,33,,F,,SCAN MASTER,,KSTRA9,21.41,U,7/17/2020 2:25:32 PM,US-BR-CO-R2-G-1798,1,5.368,42.145938,-102.927873,10.760,59.044
P00000000879556049943287,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,8,34,,F,,SCAN MASTER,,KSTRA9,19.93,U,7/17/2020 2:26:55 PM,US-BR-CO-R2-G-1798,2,4.542,42.145792,-102.927767,10.260,58.111
P00000000879556049943288,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,6,35,,F,,SCAN MASTER,,KSTRA9,20.21,U,7/17/2020 1:30:16 PM,US-BR-CO-R2-G-1798,2,4.156,42.145861,-102.927759,10.600,56.557
P00000000879556049943289,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,11,36,,F,,SCAN MASTER,,KSTRA9,17.96,D,7/17/2020 3:10:10 PM,US-BR-CO-R2-G-1798,2,4.619,42.145948,-102.927962,11.210,58.344
P00000000879556049943290,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,8,37,,F,,SCAN MASTER,,KSTRA9,21.41,U,7/17/2020 2:25:32 PM,US-BR-CO-R2-G-1798,2,5.016,42.145938,-102.927873,9.720,56.014
P00000000879556049943291,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,16,38,,F,,SCAN MASTER,,KSTRA9,22.95,D,7/17/2020 1:41:15 PM,US-BR-CO-R2-G-1798,1,4.883,42.145671,-102.927828,9.120,57.257
P00000000879556049943292,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,11,39,,F,,SCAN MASTER,,KSTRA9,19.55,D,7/17/2020 3:09:13 PM,US-BR-CO-R2-G-1798,2,5.027,42.145855,-102.927887,10.240,57.490
P00000000879556049943293,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,15,40,,F,,SCAN MASTER,,KSTRA9,21.58,D,7/17/2020 1:43:54 PM,US-BR-CO-R2-G-1798,2,4.784,42.145929,-102.928022,10.690,57.412
P00000000879556049943294,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,5,41,,F,,SCAN MASTER,,KSTRA9,21.41,U,7/17/2020 1:28:56 PM,US-BR-CO-R2-G-1798,1,3.913,42.145996,-102.927863,12.970,55.392
P00000000879556049943295,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,7,42,,F,,SCAN MASTER,,KSTRA9,20.86,U,7/17/2020 2:26:00 PM,US-BR-CO-R2-G-1798,1,4.145,42.145887,-102.927838,8.970,54.693
P00000000879556049943296,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,14,43,,F,,SCAN MASTER,,KSTRA9,20.19,D,7/17/2020 2:30:35 PM,US-BR-CO-R2-G-1798,1,5.600,42.145889,-102.927949,9.800,57.878
P00000000879556049943297,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,14,44,,F,,SCAN MASTER,,KSTRA9,20.11,D,7/17/2020 2:29:36 PM,US-BR-CO-R2-G-1798,1,5.368,42.145801,-102.927875,10.420,57.723
P00000000879556049943298,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,5,45,,F,,SCAN MASTER,,KSTRA9,20.86,U,7/17/2020 1:29:50 PM,US-BR-CO-R2-G-1798,1,3.075,42.145909,-102.927794,11.390,57.801
P00000000879556049943299,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,16,46,,F,,SCAN MASTER,,KSTRA9,20.35,D,7/17/2020 1:42:55 PM,US-BR-CO-R2-G-1798,1,5.478,42.145829,-102.927947,11.830,60.597
P00000000879556049943300,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,13,47,,F,,SCAN MASTER,,KSTRA9,19.01,D,7/17/2020 2:28:27 PM,US-BR-CO-R2-G-1798,2,5.401,42.145706,-102.927802,10.170,58.810
P00000000879556049943301,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,7,48,,F,,SCAN MASTER,,KSTRA9,20.06,U,7/17/2020 2:26:26 PM,US-BR-CO-R2-G-1798,1,4.178,42.145839,-102.927802,10.480,57.257
P00000000879556049943302,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,15,49,,F,,SCAN MASTER,,KSTRA9,20.35,D,7/17/2020 1:42:55 PM,US-BR-CO-R2-G-1798,2,5.060,42.145829,-102.927947,11.390,58.422
P00000000879556049943303,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,9,50,,F,,SCAN MASTER,,KSTRA9,22.29,U,7/17/2020 3:06:19 PM,US-BR-CO-R2-G-1798,1,4.079,42.145775,-102.927791,9.960,57.645
P00000000879556049943304,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,13,51,,F,,SCAN MASTER,,KSTRA9,17.97,D,7/17/2020 2:30:06 PM,US-BR-CO-R2-G-1798,2,5.159,42.145840,-102.927912,11.540,61.452
P00000000879556049943305,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,9,52,,F,,SCAN MASTER,,KSTRA9,19.11,U,7/17/2020 3:04:03 PM,US-BR-CO-R2-G-1798,1,4.542,42.145969,-102.927943,9.850,57.956
P00000000879556049943306,YT,2019:10,NEMH:WMH1,NWB_A4E03,35,12,53,,F,,SCAN MASTER,,KSTRA9,17.96,D,7/17/2020 3:10:10 PM,US-BR-CO-R2-G-1798,1,4.641,42.145948,-102.927962,9.960,58.422
P00000000879556049943307,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,13,54,,F,,SCAN MASTER,,KSTRA9,20.11,D,7/17/2020 2:29:36 PM,US-BR-CO-R2-G-1798,2,5.688,42.145801,-102.927875,10.960,60.131
P00000000879556049943308,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,12,55,,F,,SCAN MASTER,,KSTRA9,19.78,D,7/17/2020 3:08:43 PM,US-BR-CO-R2-G-1798,1,5.016,42.145809,-102.927850,9.190,55.858
P00000000879556049943309,YT,2019:10,NEMH:WMH1,NWB_A4E03,39,15,56,,F,,SCAN MASTER,,KSTRA9,22.95,D,7/17/2020 1:41:15 PM,US-BR-CO-R2-G-1798,2,5.578,42.145671,-102.927828,12.910,61.840
P00000000879556049943310,YT,2019:10,NEMH:WMH1,NWB_A4E03,37,10,57,,F,,SCAN MASTER,,KSTRA9,21.19,U,7/17/2020 3:05:01 PM,US-BR-CO-R2-G-1798,2,5.027,42.145871,-102.927865,9.870,58.810
P00000000879556049943311,YT,2019:10,NEMH:WMH1,NWB_A4E03,38,5,58,,F,,SCAN MASTER,,KSTRA9,20.21,U,7/17/2020 1:30:16 PM,US-BR-CO-R2-G-1798,1,4.784,42.145861,-102.927759,9.530,55.548
P00000000879556049943312,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,5,59,,F,,SCAN MASTER,,KSTRA9,16.01,U,7/17/2020 1:29:23 PM,US-BR-CO-R2-G-1798,1,4.564,42.145958,-102.927834,13.050,57.179
P00000000879556049943313,YT,2019:10,NEMH:WMH1,NWB_A4E03,36,6,60,,F,,SCAN MASTER,,KSTRA9,16.01,U,7/17/2020 1:29:23 PM,US-BR-CO-R2-G-1798,2,4.145,42.145958,-102.927834,10.620,56.091
P00000000879556055528763,YT,2019:10,NEMH:WMH1,NWB_14E118,30,38,4,,F,,SCAN MASTER,,KSTRA9,20.80,D,7/17/2020 7:24:39 PM,US-BR-CO-R2-G-1798,1,4.718,42.146001,-102.928559,6.980,55.237
P00000000879556055528767,YT,2019:10,NEMH:WMH1,NWB_14E118,32,34,1,,F,,SCAN MASTER,,KSTRA9,22.71,U,7/17/2020 7:55:03 PM,US-BR-CO-R2-G-1798,2,5.534,42.145941,-102.928440,9.730,59.820
P00000000879556055528768,YT,2019:10,NEMH:WMH1,NWB_14E118,32,38,2,,F,,SCAN MASTER,,KSTRA9,22.35,D,7/17/2020 7:23:42 PM,US-BR-CO-R2-G-1798,1,4.277,42.145910,-102.928487,8.320,56.557
P00000000879556055528769,YT,2019:10,NEMH:WMH1,NWB_14E118,29,34,6,,F,,SCAN MASTER,,KSTRA9,19.58,U,7/17/2020 7:53:37 PM,US-BR-CO-R2-G-1798,2,5.225,42.146085,-102.928551,10.650,61.452
P00000000879556055528770,YT,2019:10,NEMH:WMH1,NWB_14E118,29,29,3,,F,,SCAN MASTER,,KSTRA9,19.30,U,7/17/2020 6:32:52 PM,US-BR-CO-R2-G-1798,1,4.034,42.146108,-102.928478,7.630,56.557
P00000000879556055528771,YT,2019:10,NEMH:WMH1,NWB_14E118,28,31,7,,F,,SCAN MASTER,,KSTRA9,19.93,U,7/17/2020 7:14:35 PM,US-BR-CO-R2-G-1798,1,5.975,42.146128,-102.928572,9.720,60.287
P00000000879556055528772,YT,2019:10,NEMH:WMH1,NWB_14E118,29,39,8,,F,,SCAN MASTER,,KSTRA9,18.84,D,7/17/2020 6:46:15 PM,US-BR-CO-R2-G-1798,2,4.993,42.146036,-102.928622,7.960,56.713
P00000000879556055528773,YT,2019:10,NEMH:WMH1,NWB_14E118,32,33,9,,F,,SCAN MASTER,,KSTRA9,22.71,U,7/17/2020 7:55:03 PM,US-BR-CO-R2-G-1798,1,5.600,42.145941,-102.928440,8.930,58.577
P00000000879556055528774,YT,2019:10,NEMH:WMH1,NWB_14E118,31,31,10,,F,,SCAN MASTER,,KSTRA9,19.26,U,7/17/2020 7:16:00 PM,US-BR-CO-R2-G-1798,1,4.674,42.145991,-102.928460,10.470,61.530
P00000000879556055528775,YT,2019:10,NEMH:WMH1,NWB_14E118,31,38,14,,F,,SCAN MASTER,,KSTRA9,17.53,D,7/17/2020 7:24:12 PM,US-BR-CO-R2-G-1798,1,5.027,42.145950,-102.928524,6.630,54.693
P00000000879556055528776,YT,2019:10,NEMH:WMH1,NWB_14E118,28,33,11,,F,,SCAN MASTER,,KSTRA9,22.03,U,7/17/2020 7:53:08 PM,US-BR-CO-R2-G-1798,1,5.104,42.146130,-102.928590,9.440,59.199
P00000000879556055528777,YT,2019:10,NEMH:WMH1,NWB_14E118,31,34,12,,F,,SCAN MASTER,,KSTRA9,19.06,U,7/17/2020 7:54:33 PM,US-BR-CO-R2-G-1798,2,5.060,42.145995,-102.928481,9.760,59.820
P00000000879556055528778,YT,2019:10,NEMH:WMH1,NWB_14E118,32,32,15,,F,,SCAN MASTER,,KSTRA9,19.69,U,7/17/2020 7:16:28 PM,US-BR-CO-R2-G-1798,2,4.486,42.145947,-102.928416,9.910,58.500
P00000000879556055528779,YT,2019:10,NEMH:WMH1,NWB_14E118,29,40,13,,F,,SCAN MASTER,,KSTRA9,18.84,D,7/17/2020 6:46:15 PM,US-BR-CO-R2-G-1798,1,4.310,42.146036,-102.928622,8.510,58.267
P00000000879556055528781,YT,2019:10,NEMH:WMH1,NWB_14E118,32,40,17,,F,,SCAN MASTER,,KSTRA9,20.68,D,7/17/2020 6:44:42 PM,US-BR-CO-R2-G-1798,1,4.156,42.145892,-102.928512,9.320,57.956
P00000000879556055528782,YT,2019:10,NEMH:WMH1,NWB_14E118,28,38,18,,F,,SCAN MASTER,,KSTRA9,24.80,D,7/17/2020 7:25:38 PM,US-BR-CO-R2-G-1798,1,4.101,42.146104,-102.928637,9.490,58.966
P00000000879556055528783,YT,2019:10,NEMH:WMH1,NWB_14E118,30,40,19,,F,,SCAN MASTER,,KSTRA9,20.72,D,7/17/2020 6:45:41 PM,US-BR-CO-R2-G-1798,1,3.847,42.145988,-102.928593,6.740,54.227
P00000000879556055528784,YT,2019:10,NEMH:WMH1,NWB_14E118,30,35,20,,F,,SCAN MASTER,,KSTRA9,20.24,D,7/17/2020 8:05:21 PM,US-BR-CO-R2-G-1798,2,4.630,42.146073,-102.928560,10.760,60.520
P00000000879556055528785,YT,2019:10,NEMH:WMH1,NWB_14E118,32,35,21,,F,,SCAN MASTER,,KSTRA9,19.96,D,7/17/2020 8:04:25 PM,US-BR-CO-R2-G-1798,2,4.894,42.145976,-102.928492,9.050,58.189
P00000000879556055528786,YT,2019:10,NEMH:WMH1,NWB_14E118,32,39,22,,F,,SCAN MASTER,,KSTRA9,20.68,D,7/17/2020 6:44:42 PM,US-BR-CO-R2-G-1798,2,4.619,42.145892,-102.928512,7.200,55.237
P00000000879556055528787,YT,2019:10,NEMH:WMH1,NWB_14E118,30,30,34,,F,,SCAN MASTER,,KSTRA9,19.13,U,7/17/2020 6:33:20 PM,US-BR-CO-R2-G-1798,2,4.685,42.146064,-102.928442,9.380,58.733
P00000000879556055528788,YT,2019:10,NEMH:WMH1,NWB_14E118,28,29,23,,F,,SCAN MASTER,,KSTRA9,21.35,U,7/17/2020 6:32:24 PM,US-BR-CO-R2-G-1798,1,4.729,42.146154,-102.928516,9.060,59.510
P00000000879556055528789,YT,2019:10,NEMH:WMH1,NWB_14E118,30,39,35,,F,,SCAN MASTER,,KSTRA9,20.72,D,7/17/2020 6:45:41 PM,US-BR-CO-R2-G-1798,2,4.740,42.145988,-102.928593,7.960,56.480
P00000000879556055528790,YT,2019:10,NEMH:WMH1,NWB_14E118,28,36,36,,F,,SCAN MASTER,,KSTRA9,21.51,D,7/17/2020 8:06:18 PM,US-BR-CO-R2-G-1798,1,4.652,42.146167,-102.928641,9.540,60.986
P00000000879556055528791,YT,2019:10,NEMH:WMH1,NWB_14E118,28,30,37,,F,,SCAN MASTER,,KSTRA9,21.35,U,7/17/2020 6:32:24 PM,US-BR-CO-R2-G-1798,2,3.891,42.146154,-102.928516,9.650,58.267
P00000000879556055528792,YT,2019:10,NEMH:WMH1,NWB_14E118,30,37,38,,F,,SCAN MASTER,,KSTRA9,20.80,D,7/17/2020 7:24:39 PM,US-BR-CO-R2-G-1798,2,4.156,42.146001,-102.928559,9.240,57.801
P00000000879556055528793,YT,2019:10,NEMH:WMH1,NWB_14E118,28,40,24,,F,,SCAN MASTER,,KSTRA9,20.08,D,7/17/2020 6:46:43 PM,US-BR-CO-R2-G-1798,1,5.004,42.146081,-102.928665,8.240,58.034
P00000000879556055528794,YT,2019:10,NEMH:WMH1,NWB_14E118,32,31,39,,F,,SCAN MASTER,,KSTRA9,19.69,U,7/17/2020 7:16:28 PM,US-BR-CO-R2-G-1798,1,5.258,42.145947,-102.928416,10.560,61.530
P00000000879556055528795,YT,2019:10,NEMH:WMH1,NWB_14E118,28,32,25,,F,,SCAN MASTER,,KSTRA9,19.93,U,7/17/2020 7:14:35 PM,US-BR-CO-R2-G-1798,2,4.982,42.146128,-102.928572,9.790,60.053
P00000000879556055528796,YT,2019:10,NEMH:WMH1,NWB_14E118,28,34,26,,F,,SCAN MASTER,,KSTRA9,22.03,U,7/17/2020 7:53:08 PM,US-BR-CO-R2-G-1798,2,4.674,42.146130,-102.928590,9.170,57.878
P00000000879556055528797,YT,2019:10,NEMH:WMH1,NWB_14E118,30,32,40,,F,,SCAN MASTER,,KSTRA9,17.06,U,7/17/2020 7:15:32 PM,US-BR-CO-R2-G-1798,2,4.707,42.146036,-102.928497,10.770,61.918
P00000000879556055528798,YT,2019:10,NEMH:WMH1,NWB_14E118,30,33,27,,F,,SCAN MASTER,,KSTRA9,18.95,U,7/17/2020 7:54:05 PM,US-BR-CO-R2-G-1798,1,4.431,42.146041,-102.928515,9.650,60.209
P00000000879556055528800,YT,2019:10,NEMH:WMH1,NWB_14E118,32,37,28,,F,,SCAN MASTER,,KSTRA9,22.35,D,7/17/2020 7:23:42 PM,US-BR-CO-R2-G-1798,2,4.310,42.145910,-102.928487,10.620,58.655
P00000000879556055528801,YT,2019:10,NEMH:WMH1,NWB_14E118,29,32,29,,F,,SCAN MASTER,,KSTRA9,22.67,U,7/17/2020 7:15:04 PM,US-BR-CO-R2-G-1798,2,4.971,42.146074,-102.928534,10.610,61.374
P00000000879556055528802,YT,2019:10,NEMH:WMH1,NWB_14E118,30,34,42,,F,,SCAN MASTER,,KSTRA9,18.95,U,7/17/2020 7:54:05 PM,US-BR-CO-R2-G-1798,2,4.894,42.146041,-102.928515,8.760,57.956
P00000000879556055528803,YT,2019:10,NEMH:WMH1,NWB_14E118,29,36,30,,F,,SCAN MASTER,,KSTRA9,19.21,D,7/17/2020 8:05:50 PM,US-BR-CO-R2-G-1798,1,4.277,42.146117,-102.928602,9.730,59.976
P00000000879556055528804,YT,2019:10,NEMH:WMH1,NWB_14E118,31,33,43,,F,,SCAN MASTER,,KSTRA9,19.06,U,7/17/2020 7:54:33 PM,US-BR-CO-R2-G-1798,1,4.718,42.145995,-102.928481,7.660,57.179
P00000000879556055528805,YT,2019:10,NEMH:WMH1,NWB_14E118,29,30,31,,F,,SCAN MASTER,,KSTRA9,19.30,U,7/17/2020 6:32:52 PM,US-BR-CO-R2-G-1798,2,4.949,42.146108,-102.928478,9.650,58.888
P00000000879556055528806,YT,2019:10,NEMH:WMH1,NWB_14E118,28,35,32,,F,,SCAN MASTER,,KSTRA9,21.51,D,7/17/2020 8:06:18 PM,US-BR-CO-R2-G-1798,2,4.718,42.146167,-102.928641,10.850,62.462
P00000000879556055528807,YT,2019:10,NEMH:WMH1,NWB_14E118,29,31,33,,F,,SCAN MASTER,,KSTRA9,22.67,U,7/17/2020 7:15:04 PM,US-BR-CO-R2-G-1798,1,4.773,42.146074,-102.928534,7.840,57.024
P00000000879556055528808,YT,2019:10,NEMH:WMH1,NWB_14E118,32,36,44,,F,,SCAN MASTER,,KSTRA9,19.96,D,7/17/2020 8:04:25 PM,US-BR-CO-R2-G-1798,1,4.123,42.145976,-102.928492,7.020,56.247
P00000000879556055528809,YT,2019:10,NEMH:WMH1,NWB_14E118,30,36,54,,F,,SCAN MASTER,,KSTRA9,20.24,D,7/17/2020 8:05:21 PM,US-BR-CO-R2-G-1798,1,4.971,42.146073,-102.928560,8.210,57.024
P00000000879556055528810,YT,2019:10,NEMH:WMH1,NWB_14E118,31,40,45,,F,,SCAN MASTER,,KSTRA9,20.60,D,7/17/2020 6:45:11 PM,US-BR-CO-R2-G-1798,1,4.949,42.145943,-102.928548,7.320,57.257
P00000000879556055528811,YT,2019:10,NEMH:WMH1,NWB_14E118,29,37,46,,F,,SCAN MASTER,,KSTRA9,18.71,D,7/17/2020 7:25:06 PM,US-BR-CO-R2-G-1798,2,5.170,42.146041,-102.928602,9.790,59.743
P00000000879556055528812,YT,2019:10,NEMH:WMH1,NWB_14E118,31,37,55,,F,,SCAN MASTER,,KSTRA9,17.53,D,7/17/2020 7:24:12 PM,US-BR-CO-R2-G-1798,2,4.663,42.145950,-102.928524,10.780,61.607
P00000000879556055528814,YT,2019:10,NEMH:WMH1,NWB_14E118,29,38,56,,F,,SCAN MASTER,,KSTRA9,18.71,D,7/17/2020 7:25:06 PM,US-BR-CO-R2-G-1798,1,4.597,42.146041,-102.928602,6.130,53.994
P00000000879556055528815,YT,2019:10,NEMH:WMH1,NWB_14E118,29,35,57,,F,,SCAN MASTER,,KSTRA9,19.21,D,7/17/2020 8:05:50 PM,US-BR-CO-R2-G-1798,2,4.508,42.146117,-102.928602,7.510,56.324
P00000000879556055528816,YT,2019:10,NEMH:WMH1,NWB_14E118,31,36,48,,F,,SCAN MASTER,,KSTRA9,20.03,D,7/17/2020 8:04:52 PM,US-BR-CO-R2-G-1798,1,4.872,42.146028,-102.928521,8.790,57.878
